,label,area,intensity_mean,intensity_max,intensity_min,base_name
2,58,3769.0,951.5356858583178,1759.0,394.0,1242_HS_011
0,5,4237.0,881.7873495397687,1844.0,551.0,1242_HS_018
1,8,4248.0,1384.7422316384182,2618.0,570.0,1242_HS_018
0,1,1389.0,2121.6558675305973,3173.0,1182.0,1242_HS_009
1,30,1567.0,1680.803446075303,2498.0,1156.0,1242_HS_009
2,35,552.0,1606.6123188405797,2093.0,1243.0,1242_HS_009
3,38,631.0,1529.8351822503962,1956.0,1151.0,1242_HS_009
0,1,807.0,1345.0508054522925,1896.0,903.0,1242_HS_007
1,2,597.0,1389.7018425460637,1930.0,880.0,1242_HS_007
2,5,2785.0,1693.7770197486534,2828.0,890.0,1242_HS_007
3,9,1853.0,1862.1419320021587,3214.0,840.0,1242_HS_007
4,13,5236.0,1976.4161573720398,3714.0,844.0,1242_HS_007
5,21,1428.0,1489.4425770308123,2710.0,872.0,1242_HS_007
6,42,861.0,1582.7549361207898,2911.0,850.0,1242_HS_007
7,46,4177.0,1766.9739047163037,3374.0,870.0,1242_HS_007
8,54,929.0,1744.1377825618945,3266.0,862.0,1242_HS_007
0,1,1219.0,2608.0746513535687,3932.0,1386.0,1116_nHS_008
0,1,964.0,1942.3858921161825,2984.0,1027.0,1116_nHS_001
0,1,1387.0,3019.682768565249,5033.0,1534.0,1116_nHS_006
0,1,1339.0,3345.0649738610905,5615.0,1655.0,1116_nHS_017
0,1,790.0,1906.1037974683545,2802.0,1181.0,1116_nHS_010
1,2,1725.0,2314.538550724638,3783.0,1127.0,1116_nHS_010
0,1,1627.0,2373.1850030731407,3419.0,1219.0,1116_nHS_019
0,1,1402.0,2734.5542082738943,4166.0,1424.0,1116_nHS_007
0,1,1385.0,2204.2317689530687,3247.0,1138.0,1116_nHS_009
0,1,1049.0,2965.4327931363205,4478.0,1360.0,1116_nHS_018
1,2,720.0,1908.4361111111111,2499.0,1350.0,1116_nHS_018
0,1,1781.0,2576.2554744525546,3765.0,1328.0,1116_nHS_011
0,2,834.0,3259.447242206235,4702.0,1713.0,1116_nHS_016
0,1,1584.0,2450.7695707070707,4083.0,1121.0,1116_nHS_020
0,1,1428.0,2575.274509803922,4207.0,1306.0,1116_nHS_015
1,2,949.0,2442.9420442571127,3561.0,1316.0,1116_nHS_015
0,1,1088.0,4431.467830882353,6593.0,2309.0,1116_nHS_012
0,1,1157.0,1904.801210025929,2916.0,1047.0,1116_nHS_003
0,1,1457.0,2368.945778997941,3933.0,1221.0,1116_nHS_004
0,1,1524.0,3332.209973753281,5432.0,1689.0,1116_nHS_013
0,1,742.0,1764.254716981132,2388.0,1159.0,1116_nHS_014
1,2,917.0,2556.237731733915,3816.0,1190.0,1116_nHS_014
0,1,2192.0,2463.4347627737225,3811.0,1259.0,1116_nHS_005
0,1,1487.0,2841.607935440484,4282.0,1434.0,1116_nHS_002
0,1,2006.0,2195.5797607178465,3422.0,1084.0,1219_HS_020
1,2,853.0,2044.354044548652,2908.0,997.0,1219_HS_020
0,1,1465.0,2754.6129692832765,5063.0,1177.0,1219_HS_012
1,2,940.0,2045.7021276595744,2828.0,1168.0,1219_HS_012
0,1,1482.0,3370.701079622132,4850.0,1706.0,1219_HS_015
0,1,1610.0,1834.9577639751553,2889.0,899.0,1219_HS_004
0,1,1047.0,1580.1671442215854,2193.0,994.0,1219_HS_003
1,2,1192.0,2283.1786912751677,3369.0,1017.0,1219_HS_003
0,1,906.0,970.8675496688742,1402.0,504.0,1219_HS_014
1,2,1428.0,1271.485294117647,2382.0,515.0,1219_HS_014
0,1,1095.0,3593.214611872146,5259.0,1741.0,1219_HS_013
0,1,762.0,2316.0984251968503,2916.0,1804.0,1219_HS_021
1,2,1269.0,4262.529550827423,6814.0,1819.0,1219_HS_021
0,1,2063.0,1961.3756665050896,3724.0,1020.0,1219_HS_002
0,1,2230.0,3079.3614349775785,4660.0,1530.0,1219_HS_005
0,23,2164.0,1824.8438077634012,3707.0,739.0,1219_HS_006
0,38,2129.0,1758.372945044622,3533.0,626.0,1219_HS_001
1,40,2168.0,1752.6923431734317,3503.0,635.0,1219_HS_001
0,1,2807.0,2167.5739223370147,3335.0,1086.0,1219_HS_008
0,1,1032.0,3195.9282945736436,4664.0,1566.0,1219_HS_019
0,1,1821.0,3094.077979132345,5304.0,1557.0,1219_HS_010
0,2,1972.0,3931.430527383367,6570.0,1888.0,1219_HS_017
0,1,1914.0,2143.0987460815045,3864.0,1061.0,1219_HS_009
0,1,1306.0,2603.4127105666157,4010.0,1206.0,1219_HS_007
1,3,734.0,2050.385558583106,2835.0,1222.0,1219_HS_007
0,1,762.0,1639.3871391076116,2190.0,1098.0,1219_HS_016
1,3,2191.0,2707.627567320858,5337.0,1142.0,1219_HS_016
2,5,1262.0,2095.218700475436,3648.0,1103.0,1219_HS_016
3,6,647.0,1462.1746522411129,1867.0,1098.0,1219_HS_016
0,1,1132.0,2558.5812720848057,3779.0,1336.0,1219_HS_011
0,1,1441.0,1904.3573907009022,2867.0,1294.0,1219_HS_018
1,3,2210.0,3054.7343891402716,6527.0,1321.0,1219_HS_018
0,1,1005.0,2549.0457711442787,3557.0,1223.0,1218_nHS_016
0,1,1340.0,1751.2962686567164,2369.0,1078.0,1218_nHS_011
1,2,867.0,1668.0934256055364,2259.0,1102.0,1218_nHS_011
2,3,1125.0,3000.2275555555557,4675.0,1130.0,1218_nHS_011
0,1,992.0,3381.9566532258063,4800.0,1782.0,1218_nHS_018
0,1,1839.0,1685.1702011963023,2608.0,870.0,1218_nHS_009
0,1,934.0,2554.2483940042825,3648.0,1363.0,1218_nHS_007
0,1,1049.0,2743.757864632984,4065.0,1452.0,1218_nHS_019
0,1,1078.0,2508.1576994434135,4031.0,1302.0,1218_nHS_010
0,1,1005.0,2500.8716417910446,3641.0,1345.0,1218_nHS_017
0,1,1463.0,1886.4046479835954,2864.0,1024.0,1218_nHS_006
0,1,1087.0,2025.5611775528978,3035.0,898.0,1218_nHS_001
1,2,665.0,1259.7172932330827,1669.0,916.0,1218_nHS_001
0,1,1045.0,4400.886124401914,6406.0,2302.0,1218_nHS_008
0,1,1006.0,2147.331013916501,3199.0,1050.0,1218_nHS_002
0,1,1440.0,1528.8145833333333,2565.0,810.0,1218_nHS_005
0,1,1180.0,2252.022033898305,3723.0,1112.0,1218_nHS_014
0,1,1018.0,4264.083497053045,6036.0,2224.0,1218_nHS_013
0,1,1142.0,1978.3984238178634,3027.0,914.0,1218_nHS_021
1,2,687.0,1150.9708879184861,1476.0,845.0,1218_nHS_021
0,1,961.0,3511.2570239334027,4891.0,1826.0,1218_nHS_004
0,1,874.0,2767.3443935926775,3828.0,1479.0,1218_nHS_003
0,1,1057.0,4582.711447492905,6495.0,2387.0,1218_nHS_020
0,1,1885.0,703.9066312997347,1182.0,388.0,1218_nHS_012
1,4,1527.0,658.1512770137524,1102.0,377.0,1218_nHS_012
0,1,1465.0,2277.2907849829353,3376.0,1181.0,1218_nHS_015
0,1,5408.0,1902.2039571005917,3983.0,936.0,1116_HS_005
0,1,1692.0,2905.324468085106,4287.0,1456.0,1116_HS_002
0,2,4224.0,2428.134706439394,4676.0,1196.0,1116_HS_021
0,1,1781.0,2855.4312184166197,4469.0,1434.0,1116_HS_013
0,1,1051.0,2995.1550903901048,4537.0,1418.0,1116_HS_014
1,2,894.0,2555.9373601789707,3703.0,1461.0,1116_HS_014
